"","time","tavg","tmin","tmax","prcp","snow","wdir","wspd","wpgt","pres"
"1","1973-01-01",14.3,9.8,19.2,0,0,63.5,14.3,50,1018.7
"2","1973-01-02",11.7,5.4,16.5,0,0,103.1,9.5,27.7,1017
"3","1973-01-03",11.7,9.2,14.2,0,0,NA,15.2,48.2,1014.7
"4","1973-01-04",9.2,5.4,13.7,0,0,39.9,9,33.5,1014.7
"5","1973-01-05",8.7,2.6,15.9,0,0,358.5,9.8,27.7,1019.5
"6","1973-01-06",9,3.1,14.8,0,0,32.5,9,22.3,1016.6
"7","1973-01-07",9.2,4.2,14.2,0,0,85,8.3,20.5,1019.4
"8","1973-01-08",10.4,5.9,14.2,0.8,0,67.8,8.7,24.1,1018.9
"9","1973-01-09",12.2,9.8,15.9,7.6,0,104.9,12.8,35.3,1016.2
"10","1973-01-10",12.1,8.1,15.4,0,0,54,8.1,22.3,1021.1
"11","1973-01-11",12.7,8.1,17.6,0,0,NA,9.4,25.9,1025.4
"12","1973-01-12",13.8,9.8,19.2,0,0,NA,8.8,20.5,1023.5
"13","1973-01-13",16.2,10.9,24.2,0,0,NA,8.3,25.9,1021.4
"14","1973-01-14",17.6,12.6,24.8,0,0,38.9,10.5,24.1,1019.7
"15","1973-01-15",13.8,13.1,15.4,0,0,176.1,9.7,27.7,1018.8
"16","1973-01-16",13.7,13.1,14.8,43.2,0,155.9,13.5,46.4,1015.9
"17","1973-01-17",13.4,9.8,15.9,0,0,249.2,13.4,42.5,1018.8
"18","1973-01-18",12.1,9.8,14.2,13.5,0,132.5,20,63,1017.7
"19","1973-01-19",11.6,9.2,14.8,0,0,332.6,18.6,74.2,1016.8
"20","1973-01-20",10.8,7,14.8,0,0,352.1,16.7,46.4,1019
"21","1973-01-21",10.1,4.8,14.8,0,0,57.3,11.1,35.3,1015.9
"22","1973-01-22",11.5,4.2,18.1,0,0,146.8,9.4,33.5,1019.4
"23","1973-01-23",11.4,4.8,18.1,0,0,NA,9.1,33.5,1024.6
"24","1973-01-24",11.7,5.4,18.7,0,0,34.4,9.6,31.3,1021.9
"25","1973-01-25",11.3,6.5,15.9,0,0,156.6,14.3,53.6,1018.5
"26","1973-01-26",11.4,8.1,15.4,0,0,304,16.5,57.2,1020
"27","1973-01-27",12.5,5.9,19.8,0,0,17.9,10.8,25.9,1024.4
"28","1973-01-28",15.7,9.8,22.6,0,0,45.6,12.4,29.5,1021.9
"29","1973-01-29",13.2,9.2,18.7,0,0,168.9,11.1,29.5,1016
"30","1973-01-30",12.1,9.8,14.8,15.2,0,52.7,13,40.7,1009.7
"31","1973-01-31",12.5,7,16.5,0,0,NA,13.2,35.3,1014.7
"32","1973-02-01",14.1,9.2,20.4,0,0,NA,10.6,25.9,1018.4
"33","1973-02-02",15,10.9,19.8,0,0,82,11,37.1,1015.8
"34","1973-02-03",13.8,11.5,15.9,14.2,0,104.6,13.6,46.4,1014.7
"35","1973-02-04",13.4,10.9,17,1.3,0,97.1,10.3,24.1,1019.7
"36","1973-02-05",13.4,9.2,18.1,11.9,0,51.4,9.5,37.1,1018.4
"37","1973-02-06",14.3,12,18.1,8.6,0,132.4,16.9,33.5,1015.4
