"","time","tavg","tmin","tmax","prcp","snow","wdir","wspd","wpgt","pres"
"1","1973-01-01",6.8,1.7,15.7,0,0,14.6,13.8,40.7,NA
"2","1973-01-02",5.5,-1.3,10.7,0,0,NA,10.2,33.5,1018.2
"3","1973-01-03",3.9,0.7,8.7,0,0,NA,4.2,24.1,1016.4
"4","1973-01-04",2.6,-2.3,10.7,0,0,316.4,9.4,44.3,1018.9
"5","1973-01-05",2.2,-2.3,8.7,0,0,NA,3.7,24.1,1022.5
"6","1973-01-06",2.3,-2.5,8.7,0,0,NA,5.5,24.1,NA
"7","1973-01-07",2.4,-1.3,6.7,0,0,NA,5.8,18.4,1020.9
"8","1973-01-08",2.5,0.7,4.7,21.8,0,NA,7.9,29.5,1016
"9","1973-01-09",9.4,3.7,10.7,28.7,0,155.4,34.2,63,1010.6
"10","1973-01-10",8.2,7.4,9.7,0.3,0,NA,8.8,24.1,NA
"11","1973-01-11",10.4,7.4,11.3,29.7,0,145.5,24.6,44.3,1025
"12","1973-01-12",12.9,11.3,14.1,10.9,0,156.6,17.8,29.5,NA
"13","1973-01-13",11.1,9.1,13.5,0.3,0,NA,5.1,18.4,1026.2
"14","1973-01-14",11.2,9.1,13.5,0.5,0,NA,3.2,14.8,NA
"15","1973-01-15",11.4,10.3,12.4,3.8,0,141.2,17.7,51.8,1014.9
"16","1973-01-16",12.2,10.2,15.2,33.3,0,171.5,34.4,72,1007
"17","1973-01-17",10.4,8.5,12.4,4.8,0,154.9,27.9,51.8,1013.9
"18","1973-01-18",9.9,6.9,11.9,23.9,0,182.3,30.2,85,1009.8
"19","1973-01-19",5.7,1.3,10.2,0,0,305,10,38.9,1021.4
"20","1973-01-20",4.9,0.8,9.7,2.8,0,NA,9.5,27.7,NA
"21","1973-01-21",5.8,3,8,1.3,0,NA,8.7,29.5,1020.7
"22","1973-01-22",4.5,0.2,10.2,0,0,NA,3.4,14.8,1024.3
"23","1973-01-23",4.7,0.2,10.8,0,0,NA,5.3,24.1,NA
"24","1973-01-24",4.9,1.3,9.1,2.3,0,NA,5.2,18.4,1024.5
"25","1973-01-25",7.2,3.5,10.2,3.3,0,NA,10.4,37.1,NA
"26","1973-01-26",4.6,0.2,9.7,0,0,NA,3.8,16.6,1024.8
"27","1973-01-27",5,0.8,10.2,0,0,NA,2.7,16.6,1027.2
"28","1973-01-28",5,-0.8,12.4,0,0,NA,3.4,16.6,1021.7
"29","1973-01-29",7.8,2.4,11.9,6.6,0,NA,18.1,48.2,NA
"30","1973-01-30",9,6.9,11.3,0,0,NA,6.2,25.9,NA
"31","1973-01-31",9.3,5.2,12.4,0.3,0,283.1,11.8,22.3,NA
"32","1973-02-01",7.5,2.5,13,0,0,NA,5.1,14.8,NA
"33","1973-02-02",9.4,5.8,14.1,0,0,NA,6.1,22.3,NA
"34","1973-02-03",9.8,7.4,11.9,9.9,0,NA,8.4,24.1,NA
"35","1973-02-04",12.3,10.2,16.3,1.3,0,145.6,23.4,46.4,1016.9
"36","1973-02-05",10.5,6.3,14.1,2.3,0,NA,4.2,16.6,1017.1
"37","1973-02-06",12,10.2,14.1,13.7,0,NA,17.4,40.7,NA
"38","1973-02-07",13.4,11.3,16.9,1,0,137.5,14.8,33.5,1015.4
"39","1973-02-08",12.4,9.7,15.8,0.3,0,NA,4.1,18.4,NA
"40","1973-02-09",12.6,11.3,15.2,19.6,0,148.8,19,51.8,NA
"41","1973-02-10",11.6,10.2,14.1,21.3,0,157.5,20.8,37.1,1008.3
"42","1973-02-11",10.6,9.1,13.5,3.3,0,161.5,17,37.1,1001
"43","1973-02-12",10.8,8.5,13.5,1,0,157.2,25,48.2,1009.8
"44","1973-02-13",11.3,9.7,13.5,0.5,0,NA,11.5,25.9,1017.2
"45","1973-02-14",11,8.5,13.6,6.1,0,158.3,16.5,31.3,1019.6
"46","1973-02-15",10.7,5.2,16.9,0,0,352.7,14.1,38.9,NA
"47","1973-02-16",9.2,4.1,14.1,0,0,NA,7.3,22.3,1023.1
"48","1973-02-17",8.9,5.2,13.5,0,0,NA,5.2,20.5,1022.4
"49","1973-02-18",9.1,5.8,14.1,0,0,NA,7.6,20.5,1020.2
"50","1973-02-19",9.1,3.5,16.9,0,0,NA,8.3,25.9,NA
"51","1973-02-20",10.7,4.1,18,0,0,NA,4.8,20.5,1019
"52","1973-02-21",11.1,3.5,18.5,0,0,NA,11.4,29.5,NA
"53","1973-02-22",11.5,7.4,16.3,0,0,NA,4.9,18.4,1018.2
"54","1973-02-23",12.4,5.8,18,0,0,NA,9.1,44.3,1015.9
"55","1973-02-24",14.2,12.4,17.4,2,0,165.3,37.4,66.6,NA
"56","1973-02-25",14.2,10.8,18.5,0,0,NA,11.6,25.9,1020.9
"57","1973-02-26",12.5,11.3,13.5,13.7,0,136.1,18.6,46.4,1017.4
"58","1973-02-27",12.6,11.3,14.7,46,0,NA,9.8,55.4,NA
"59","1973-02-28",12.6,10.2,15.8,1.3,0,223.4,9.4,22.3,1014.3
"60","1973-03-01",12.5,9.1,15.2,0.3,0,181.5,11.6,29.5,1021.5
"61","1973-03-02",10.4,5.2,16.3,0,0,306.9,7.6,22.3,1022.1
"62","1973-03-03",9.1,6.9,11.3,12.4,0,166.7,13.9,35.3,1018.1
"63","1973-03-04",8.5,6.3,11.4,0,0,NA,3.5,18.4,1014.4
"64","1973-03-05",8.4,3,13,0,0,NA,7.2,20.5,1013.2
"65","1973-03-06",9.8,7.4,12.4,5.6,0,150.7,20.1,48.2,1010.5
"66","1973-03-07",8.7,4.1,13,5.1,0,NA,12.8,33.5,1015
"67","1973-03-08",11,6.3,16.9,4.1,0,NA,9.2,29.5,NA
"68","1973-03-09",12,8.5,16.9,0,0,147.1,12.9,22.3,1013.8
