author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Paul Ford,Climate Change Is the New Dot-Com Bubble,The free market has plenty of grandiose ideas about how to fix our broken planet. There's just one problem: We can't afford another bust.,https://www.wired.com/story/climate-change-economy-dot-com-bubble/,,2021-09-27T11:00:00Z,"I had wondered what shape my midlife crisis would take. I don't drive, so a convertible was out. I don't want to learn the guitar or collect vintage tube amps. When I asked my wife whether I should h… [+3744 chars]",wired,Wired
1,Eleanor Cummins,Environmental Law Is Getting in the Way of Climate Action,The path forward requires a new understanding of our burning world.,https://www.wired.com/story/environmental-law-climate-action-regulation-policy/,"https://media.wired.com/photos/614a7109a61c3e890f31fc45/191:100/w_1280,c_limit/ideas-climate-law.jpg",2021-09-22T12:00:00Z,"The decades-long failure to act shows that many existing environmental laws are made for very old problems, Wood says. In Nixons day, Americans were concerned with issues like smog, acid rain, and dw… [+3575 chars]",wired,Wired
2,Molly Taft,How Can You Overcome Climate Dread?,"Welcome to Burning Questions, a series where Earther answers the most common asks we get on how to address climate change. Many people want to do something, anything to help address the climate crisis. We answer your questions about how to help change your li…",https://gizmodo.com/how-can-you-overcome-climate-dread-1847606185,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/2eb1054dfd815aab1d8f57263f9421ac.jpg",2021-09-02T16:10:00Z,"Welcome to Burning Questions, a series where Earther answers the most common asks we get on how to address climate change. Many people want to do something, anything to help address the climate crisi… [+8337 chars]",,Gizmodo.com
3,https://www.facebook.com/bbcnews,Climate change: Young people very worried - survey,Over half of respondents in a survey believe humanity is doomed and governments are failing to act.,https://www.bbc.co.uk/news/world-58549373,https://ichef.bbci.co.uk/news/1024/branded_news/124B/production/_120538640_gettyimages-1206377932.jpg,2021-09-14T05:10:58Z,"By Roger HarrabinBBC environment analyst
image source, Getty Images
image captionOver half of those surveyed said they thought humanity was doomed and that governments were failing to respond adequ… [+3784 chars]",bbc-news,BBC News
4,Justine Calma,"Facebook’s new commitments on climate misinformation miss the point, activists say","Facebook announced new initiatives to tackle climate misinformation on its platform. But the company still hasn’t done enough to stop lies about climate change, and it profits off oil and gas advertising, activists say.",https://www.theverge.com/2021/9/16/22677376/facebook-climate-change-misinformation-fossil-fuel-advertising,https://cdn.vox-cdn.com/thumbor/u6VD169o1rhQz93DfxaJOwP3evA=/0x214:3000x1785/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/19345702/1181412886.jpg.jpg,2021-09-16T17:24:44Z,"The platform is still rife with misleading posts and fossil fuel advertising 
An Extinction Rebellion environmental activist mother group protest outside Google UK HQ demanding they stop climate den… [+4126 chars]",the-verge,The Verge
5,Trish Bendix,Late Night Shares the Stage With Climate Change,Seven hosts dedicated their Wednesday shows to raising awareness about the urgent need to slow global warming.,https://www.nytimes.com/2021/09/23/arts/television/late-night-climate-change.html,https://static01.nyt.com/images/2021/09/23/arts/23latenight/23latenight-facebookJumbo.png,2021-09-23T06:48:55Z,"A veteran late-night producer and writer, Steve Bodow, organized the event to coincide with Climate Week NYC. Kimmel made the case that climate change trumps all other important issues.The pandemic, … [+583 chars]",,New York Times
6,Justine Calma,Activists push to delay most high-profile climate summit since Paris agreement,"High-stakes climate negotiations, called COP26, are set to take place in Glasgow in November. Activists want to postpone the conference again because delegates from the most vulnerable countries have limited access to COVID-19 vaccines and could struggle to p…",https://www.theverge.com/2021/9/7/22660795/activists-cop26-united-nations-climate-change-summit-glasgow,https://cdn.vox-cdn.com/thumbor/1vrToT8-loiA3L9lezjvNfLK6-Q=/0x185:2588x1540/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22831946/1234739239.jpg,2021-09-07T18:46:28Z,"Many delegates still dont have access to vaccines
UN Climate Change Conference or COP26 President Alok Sharma during a meeting with India Minister of Environment, Forest and Climate Change Bhupender… [+4818 chars]",the-verge,The Verge
7,Amy Westervelt,Big Oil’s ‘Wokewashing’ Is the New Climate Science Denialism,"ExxonMobil has been touting its commitment to “reducing carbon emissions with innovative energy solutions.” Chevron would like to remind you it is keeping the lights on during this dark time. BP is going #NetZero, but is also very proud of the “digital innova…",https://gizmodo.com/big-oil-s-wokewashing-is-the-new-climate-science-deni-1847642044,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/8dab8c4ec9278372fd18c0b4dc10530c.jpg",2021-09-09T13:10:00Z,ExxonMobil has been touting its commitment to reducing carbon emissions with innovative energy solutions. Chevron would like to remind you it is keeping the lights on during this dark time. BP is goi… [+7308 chars],,Gizmodo.com
8,Dave Itzkoff,Late-Night Shows Are Teaming Up to Tackle Climate Change,"Seven of TV’s most popular late-night programs and hosts, including Stephen Colbert, Jimmy Fallon and Samantha Bee, plan to address the subject on the night of Sept. 22.",https://www.nytimes.com/2021/09/15/arts/television/late-night-climate-change.html,https://static01.nyt.com/images/2021/09/15/arts/15late-night/15late-night-facebookJumbo.jpg,2021-09-15T13:00:06Z,"As he explained: Everyone, before committing, wanted to be assured that, really, were all jumping into the pool at the same time? If I jump, youre not going to be standing at the edge of the pool, la… [+1084 chars]",,New York Times
9,Lisa Friedman,Biden Set to Host World Leaders for Climate Forum,"The president will urge nations to take on more ambitious climate targets. But as of late Thursday night, it was unclear if China had agreed to attend the virtual meeting.",https://www.nytimes.com/2021/09/17/us/politics/biden-climate-forum.html,https://static01.nyt.com/images/2021/09/17/us/17political-brief-climate/merlin_174569262_605927b7-e562-4a30-baca-3618f2f8ebdd-facebookJumbo.jpg,2021-09-17T09:00:11Z,The United States under Mr. Biden has pledged to cut emissions 50 to 52 percent below 2005 levels by 2030. Yet legislation to make that promise a reality faces trouble in Congress. Other major emitte… [+1137 chars],,New York Times
10,Jeré Longman,How Climate Change is Devastating Louisiana High School Sports,"Repeated hurricanes have devastated the state’s schools, teams and athletic fields. Ida was the latest reminder of the challenges facing the Sportsman’s Paradise.",https://www.nytimes.com/2021/09/03/sports/louisiana-high-school-sports-meet-a-mighty-opponent-climate-change.html,https://static01.nyt.com/images/2021/09/03/sports/03football-louisiana1/03football-louisiana1-facebookJumbo.jpg,2021-09-03T09:00:24Z,"Ill take this over Katrina, said Fitte, a former star running back at the school. Were looking at a couple weeks at most coming back because we dont have electricity. After Katrina, people didnt have… [+2299 chars]",,New York Times
11,Katie Rogers and Juliet Macur,"Calling ‘Code Red’ on Climate, Biden Pushes for Infrastructure Plan","“The nation and the world are in peril,” the president said during a stop in a hard-hit borough of New York City. “And that’s not hyperbole. That is a fact.”",https://www.nytimes.com/2021/09/07/us/politics/biden-hurricane-ida.html,https://static01.nyt.com/images/2021/09/07/us/politics/07extreme-weather-briefing-biden-visit-1sub/07extreme-weather-briefing-biden-visit-1sub-facebookJumbo.jpg,2021-09-07T22:57:41Z,"He brings energy, hope. These people need hope, said Sergio Bertoni, 61, gesturing toward the homes of his neighbors. The president is the only person in this moment who can help.
Mr. Bertoni, a doo… [+1612 chars]",,New York Times
12,Kirsten Korosec,"Carmichael Roberts, Sean O’Sullivan will share insights into climate tech and investing at Disrupt","The effects of a warming planet, from frequent and extreme flooding to hurricanes and drought, has prompted activists and governments to take action. It’s also spurred a growing number of entrepreneurs to launch technology startups focused on the mitigation o…",http://techcrunch.com/2021/09/20/carmichael-roberts-sean-osullivan-will-share-insights-into-climate-tech-and-investing-at-disrupt/,https://techcrunch.com/wp-content/uploads/2021/09/Disrupt-2021-roberts-osullivan.jpg?w=764,2021-09-20T18:32:59Z,"The effects of a warming planet, from frequent and extreme flooding to hurricanes and drought, has prompted activists and governments to take action. Its also spurred a growing number of entrepreneur… [+2131 chars]",techcrunch,TechCrunch
