author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Lindsey Ellefson,Can Aluminum Foil Really Protect Your Home in a Fire?,"Last week, as the Caldor Fire swept through the area around Lake Tahoe, one viral story emerged as a beacon of hope: A cabin that appeared to be wrapped in aluminum foil withstood the blaze. But does that actually work?Read more...",https://lifehacker.com/can-aluminum-foil-really-protect-your-home-in-a-fire-1847677069,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/8ae6845fc8477096da1709f4ea3debbc.jpg",2021-09-15T14:30:00Z,"Last week, as the Caldor Fire swept through the area around Lake Tahoe, one viral story emerged as a beacon of hope: A cabin that appeared to be wrapped in aluminum foil withstood the blaze. But does… [+3825 chars]",,Lifehacker.com
1,Devindra Hardawar,ProtonMail under fire after giving authorities an activist's IP address,"ProtonMail, an email service that prides itself on security with end-to-end encryption, is facing criticism after it gave up a French climate activist's IP address to Swiss police. As TechCrunch reports, the company was acting on a request sent via Europol by…",https://www.engadget.com/protonmail-climate-activist-ip-swiss-french-authorities-233004304.html,https://s.yimg.com/os/creatr-uploaded-images/2021-09/19b30c70-0f69-11ec-afb5-2e0e1b62089d,2021-09-06T23:30:04Z,"ProtonMail, an email service that prides itself on security with end-to-end encryption, is facing criticism after it gave up a French climate activist's IP address to Swiss police. As TechCrunch repo… [+1703 chars]",engadget,Engadget
2,"Alta Spells, CNN","Caldor Fire near Lake Tahoe now under better control, Cal Fire says","The Caldor Fire, which has threatened the popular tourist spot of Lake Tahoe, came under better control this weekend, and some evacuation orders have been downgraded.",https://www.cnn.com/2021/09/05/us/caldor-fire-dixie-california/index.html,https://cdn.cnn.com/cnnnext/dam/assets/210902172712-02-western-wildfire-0901-caldor-super-tease.jpg,2021-09-05T16:04:52Z,"(CNN)The Caldor Fire, which has threatened the popular tourist spot of Lake Tahoe, came under better control this weekend, and some evacuation orders have been downgraded.
The growth of the fire bur… [+2728 chars]",cnn,CNN
3,"Jessica Cheung, Kaitlin Roberts, Luke Vander Ploeg, Lisa Chow, Elisheba Ittoop, Marion Lozano, Dan Powell and Chris Wood",One Family’s Fight Against the Dixie Fire,"As flames consumed rural towns in California this summer, it became clear how far residents would go to preserve their way of life.",https://www.nytimes.com/2021/09/20/podcasts/the-daily/dixie-fire-wildfires-california.html,https://static01.nyt.com/images/2021/08/26/us/20daily-1/25dixiefire-home-facebookJumbo.jpg,2021-09-20T10:00:07Z,"Annie Correal contributed reporting.
The Daily is made by Lisa Tobin, Rachel Quester, Lynsea Garrison, Annie Brown, Clare Toeniskoetter, Paige Cowett, Michael Simon Johnson, Brad Fisher, Larissa And… [+732 chars]",,New York Times
4,"Rebekah Riess, CNN",Superdome in New Orleans catches fire,"One person was injured in a fire on the roof of the New Orleans' Caesars Superdome Tuesday, authorities said.",https://www.cnn.com/2021/09/21/us/superdome-fire-new-orleans/index.html,https://cdn.cnn.com/cnnnext/dam/assets/210921150022-superdome-fire-0921-super-tease.jpg,2021-09-21T19:49:29Z,"(CNN)One person was injured in a fire on the roof of the New Orleans' Caesars Superdome Tuesday, authorities said. 
New Orleans EMS tweeted that it transported one patient from the scene to the New … [+784 chars]",cnn,CNN
5,The New York Times,There’s growing hope the Caldor fire won’t reach Lake Tahoe.,"We’re on top of the latest extreme weather in the U.S. Follow here for news on wildfires, Hurricane Ida, floods and more.",https://www.nytimes.com/live/2021/09/03/us/climate-change,https://static01.nyt.com/images/2021/09/03/multimedia/03weather-briefing-caldor-fire-01/03weather-briefing-caldor-fire-01-facebookJumbo.jpg,2021-09-03T12:20:14Z,"Extreme Weather and Climate Updates
Sept. 3, 2021Updated Sept. 3, 2021, 8:13 a.m. ET
Sept. 3, 2021, 8:13 a.m. ET
As the Caldor fire tore toward Lake Tahoe, California firefighters hacked down tree… [+21674 chars]",,New York Times
6,Troy Closson,Two People Injured in Fire at a Queens Hospital,"A rooftop blaze produced an enormous cloud of black smoke, but officials said the flames were extinguished within an hour.",https://www.nytimes.com/2021/09/10/nyregion/fire-queens-hospital.html,https://static01.nyt.com/images/2021/09/10/nyregion/10hospitalfire/10hospitalfire-facebookJumbo.jpg,2021-09-10T23:01:44Z,"Two people suffered minor injuries after a fire erupted on the roof of St. Johns Episcopal Hospital in Queens on Friday, fire officials said.
Emergency officials first received reports that a large … [+660 chars]",,New York Times
7,Alexandra Ames,Fire up CrunchMatch today and start networking with TechCrunch Disrupt 2021 attendees,"You read that right, folks. CrunchMatch, our AI-powered platform that simplifies finding and connecting with the people on your must-meet list, is now open for business. TechCrunch Disrupt 2021 takes place on September 21-23, but why wait to get your network …",http://techcrunch.com/2021/09/01/fire-up-crunchmatch-today-and-start-networking-with-techcrunch-disrupt-2021-attendees/,https://techcrunch.com/wp-content/uploads/2021/02/CrunchMatch.png?w=764,2021-09-01T15:08:57Z,"You read that right, folks. CrunchMatch, our AI-powered platform that simplifies finding and connecting with the people on your must-meet list, is now open for business. TechCrunch Disrupt 2021 takes… [+2264 chars]",techcrunch,TechCrunch
8,https://www.facebook.com/bbcnews,Canada election: Lytton fire puts village at centre of debate,A village in western Canada recorded the country's highest-ever temperature. The next day it was gone.,https://www.bbc.co.uk/news/world-us-canada-58549880,https://ichef.bbci.co.uk/news/1024/branded_news/2443/production/_120538290_gettyimages-1326687344-1.jpg,2021-09-15T23:03:37Z,"By Alice CuddyBBC News
A summer of deadly heatwaves and wildfires has put climate change on the top of the agenda at Canada's snap federal election. The village of Lytton in British Columbia has bee… [+8488 chars]",bbc-news,BBC News
9,https://www.facebook.com/bbcnews,Spain fire: Thousands flee blaze near Costa del Sol town,"Almost 2,000 people have left their homes as the military joins efforts to contain the flames.",https://www.bbc.co.uk/news/world-europe-58540570,https://ichef.bbci.co.uk/news/1024/branded_news/161CC/production/_120527509_tv070517611.jpg,2021-09-12T23:21:23Z,"Around 2,000 people have left their homes after wildfires broke out in the southern Spanish region of Andalusia.
One emergency worker has been killed in the blaze, which began on Wednesday on high g… [+1134 chars]",bbc-news,BBC News
