"","GCM","var","from_year","to_year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","annual_avg"
"1","bccr_bcm2_0","tas",1920,1939,-10.61768879,-8.407692545,-4.116470908,2.330464732,8.79204721,14.26015573,17.92173231,17.58278399,13.33264472,6.479564486,-1.224032243,-7.690621583,4.05357392575
"2","cccma_cgcm3_1","tas",1920,1939,-7.637799536,-7.092528003,-2.944350169,3.280084929,9.396691149,14.40580571,17.40768326,17.18583843,12.63803991,6.334863753,-0.079385201,-5.376437446,4.79320889883333
"3","cnrm_cm3","tas",1920,1939,-6.415732633,-5.443294459,-1.887436065,3.565436803,9.30053163,14.48591382,17.46303378,17.28528441,13.60676959,7.067572311,0.152393826,-4.394156744,5.39885968908333
"4","csiro_mk3_5","tas",1920,1939,-0.917527234,-0.261690401,2.076733368,7.365652603,13.31720283,18.5758686,21.79493725,21.03127466,16.08333011,9.439651756,3.173172948,-0.427778249,9.27090235341667
"5","gfdl_cm2_0","tas",1920,1939,-8.30787620639541,-7.10510135945682,-3.57515239002208,2.33589107675062,8.32786951992535,13.5266531090496,16.3523466723817,15.2939440187377,10.7368612313217,3.97029193678206,-1.65386685112096,-6.81289863110787,3.5907468439038
"6","gfdl_cm2_1","tas",1920,1939,-6.76951991055159,-6.11657197338856,-2.6532203883613,3.20234265410776,9.66091660192785,15.2269848754565,18.0237772268524,16.7457078282068,12.0811696801697,5.65068689665117,-0.346638933975771,-5.24967819556386,4.95466303012759
"7","ingv_echam4","tas",1920,1939,-3.21490722047472,-2.13467734472376,1.4534315836996,6.61532060047576,11.8042738764657,17.1783411496898,20.1052141831692,19.796684436369,15.8311877167428,9.45485042277,2.95757166227309,-1.47277360188503,8.19787645538095
"8","inmcm3_0","tas",1920,1939,-5.44424556437263,-4.45810933481731,-0.857902888348766,4.62614848072653,10.28491363145,15.0498312476838,17.4068724520487,16.5070353291569,12.6520632318129,6.98813924052148,0.746581574627951,-3.56467846801476,5.82805407770622
"9","ipsl_cm4","tas",1920,1939,-3.06898867637972,-2.67006692862608,-0.0497903419556365,4.21475729621249,10.0023660636007,15.1394126682812,17.9758061815688,17.1396611468154,12.587190623295,6.69985299811932,1.17700005053208,-1.75836554548714,6.44906962799804
"10","miroc3_2_medres","tas",1920,1939,-3.56333257432598,-3.33307934996593,-0.369382672772896,5.68822131073836,12.0321441422064,17.1612940762123,19.1682897553471,18.1267280102971,14.0290759459985,8.23661069798676,2.16082813139279,-2.07809003035606,7.2716089535632
"11","miub_echo_g","tas",1920,1939,-5.57129903208405,-4.36219627780008,-0.828629909904645,3.80606775450235,8.71068658614639,13.1390657876763,16.0341476478503,15.8466624119638,12.6789865089451,7.11518102631595,0.914539974525475,-3.77182627080924,5.30928218394397
"12","mpi_echam5","tas",1920,1939,-5.2695248192384,-4.2064879838383,-0.192876953735639,5.45350962802936,10.8211195034863,15.3635078106739,17.4929320984621,16.6081765191498,12.6776044660069,6.81809415365385,0.296165028711616,-4.03819214019568,5.98533560926382
"13","mri_cgcm2_3_2a","tas",1920,1939,-6.20087320608464,-5.23222099931948,-1.42192252675293,4.53724598111557,10.5580463361865,15.23274934916,17.6026898239041,16.1694046743501,11.9755459069609,6.27190617968022,-0.0775869088886156,-4.97311036069581,5.37015618746799
"14","ukmo_hadcm3","tas",1920,1939,-7.73825781006447,-6.72234936188405,-2.40544345313493,4.58639309471627,10.5536996741563,14.9039541801011,17.6186908522144,16.7494767110543,12.8118913227174,6.42895827448092,-0.388622179293247,-5.89585416037506,5.04187809539074
"15","ukmo_hadgem1","tas",1920,1939,-9.26220520476216,-8.46008867753611,-4.240441947803,2.17289593094834,9.14562676256149,15.3303250053545,18.7675610777761,18.1029652431409,13.584742824336,6.29165337389005,-1.43778302961015,-6.80370077765788,4.43262921505318
"16","bccr_bcm2_0","tas",1940,1959,-10.15891557,-8.92103649,-4.480659199,2.211140583,8.659985169,14.12858357,18.06787353,17.69644591,13.25482535,6.582813748,-1.204904228,-7.46817439,4.03066483191667
"17","cccma_cgcm3_1","tas",1940,1959,-7.948959084,-6.97074072,-2.95616968,3.182227917,9.766846616,14.84157496,17.71952831,17.1666727,12.68447351,6.437941135,-0.065550198,-5.438898786,4.86824555666667
"18","cnrm_cm3","tas",1940,1959,-6.300139506,-4.685753078,-1.702891894,3.813333564,9.504549783,14.59256415,17.70994054,17.35895544,13.58273125,6.848497728,0.093183408,-4.206753205,5.55068484833333
"19","csiro_mk3_5","tas",1940,1959,-0.972760931,-0.219227589,2.537976615,7.213793291,13.37194147,18.54851777,21.93522389,21.11766376,16.2554835,9.4921668,3.076875263,-0.345982768,9.33430592258333
"20","gfdl_cm2_0","tas",1940,1959,-7.70017484060726,-6.68558222516194,-3.65906762482299,2.27606985039839,8.22005563483774,13.6237708493653,16.63489385971,15.5178861927196,10.6418004975363,4.51921770281442,-2.06929682020482,-7.10879242628096,3.68423172085865
"21","gfdl_cm2_1","tas",1940,1959,-6.50843540867237,-5.94924774550223,-3.07413819424808,2.93214336594916,9.67319479012274,15.5185122216421,17.9357107262339,16.837996941848,12.098586465354,5.78722261728433,-0.572253258150369,-4.88601848193253,4.98277283666072
"22","ingv_echam4","tas",1940,1959,-3.16664660065998,-1.82130454960146,1.40226791267654,6.35928900283431,11.7524100515344,17.3390744939423,20.4236954762725,19.9915745609126,15.913155800684,9.72880223148135,3.16848260208783,-1.65543565250735,8.28628044413807
"23","inmcm3_0","tas",1940,1959,-5.08055156603226,-3.70620145345828,-0.792091236445974,5.03711173421513,10.6298683527997,15.2321600783218,17.5706609787778,16.7154697028192,12.9362929194354,7.13362079724964,0.989080262600214,-2.85581220593686,6.15080069702879
"24","ipsl_cm4","tas",1940,1959,-2.75646112684566,-2.56321122699845,-0.441280070089539,4.67796557799716,10.3690149017098,15.1197553905751,18.1724450927108,17.1803241073343,12.5492844427023,6.87932116729537,1.83657562940737,-1.60362087639852,6.61834275078334
"25","miroc3_2_medres","tas",1940,1959,-4.46546646841198,-3.63531848022704,-0.275159536158363,6.09956508265425,12.110065108226,16.8073652081939,19.2952444785235,18.4328486188093,14.1538880459974,8.20830416025294,1.91070008694076,-2.48356499041633,7.17987260953203
"26","miub_echo_g","tas",1940,1959,-5.73226262803786,-4.19362573790218,-0.578799050348428,4.23628520252097,8.97864180491295,13.3681632253571,16.3506450700624,16.0721480448051,13.0237715951828,7.31999415828081,1.16528746493199,-3.08493662237248,5.57710937728276
"27","mpi_echam5","tas",1940,1959,-5.11635184347403,-3.63377753279245,-0.0320805575780376,5.37250646272503,10.7813211569451,15.4602862046538,17.4477969048333,16.4845154874059,12.8838633396981,7.0984503919653,1.35213479971823,-3.43401376624436,6.22205425398799
"28","mri_cgcm2_3_2a","tas",1940,1959,-6.11541466463298,-5.07633252988328,-0.764524084077545,4.82450440518542,10.8320736397521,15.2924611384127,17.567159067661,16.2156333257437,11.9259204436396,6.45671968150932,-0.216794325527122,-4.98158640873511,5.49665164075398
"29","ukmo_hadcm3","tas",1940,1959,-7.74255047653043,-6.13722951989027,-1.93949064411781,4.52560398168284,10.4168592343591,15.024870075785,17.5496212015132,16.8251393762902,12.5758584800174,6.16351508618454,-0.676113632848363,-5.70160212718913,5.07370675293802
"30","ukmo_hadgem1","tas",1940,1959,-9.12788208464497,-8.21078803236195,-4.69882396212762,2.02790216079409,8.92283135697136,15.3825241431343,18.684905549239,17.9752662259126,13.4981038766604,6.31119603944302,-1.22844389727487,-6.95617264821368,4.38171822729431
"31","bccr_bcm2_0","tas",1960,1979,-10.59395662,-8.789350248,-4.371808364,2.247250146,8.698442264,14.48174859,18.03586576,17.62342709,13.28202709,6.45036959,-1.464343977,-7.316922766,4.02356237958333
"32","cccma_cgcm3_1","tas",1960,1979,-7.8347308,-6.939539579,-2.382061281,3.595440986,9.814921315,14.93993714,18.02106025,17.63436669,13.03644727,6.829190147,0.173117925,-4.817163139,5.17258224366667
"33","cnrm_cm3","tas",1960,1979,-6.043296909,-4.673330902,-1.216920962,3.721386118,9.726128252,14.85158952,17.88497864,17.74860761,13.82546046,7.232933977,0.711596862,-3.821851545,5.82894009341667
"34","csiro_mk3_5","tas",1960,1979,-0.898099942,0.432862051,2.80468438,7.620923278,13.78848426,19.19067086,22.20516443,21.57076357,16.48145285,10.03723868,3.761648278,-0.294723739,9.72508907966667
"35","gfdl_cm2_0","tas",1960,1979,-8.27651642682936,-6.50783403734269,-3.80798164805324,2.50857954905103,8.55730615173527,13.802713674798,16.4979960377364,15.2041519431395,10.3357874235306,4.35015481011868,-2.17275814522546,-6.44632749486042,3.67043931981653
